上海交通大学120周年校庆喜饼选择蛋奶，木瓜，芒果三种口味有什么寓意吗？,求类似糕点链接！
当官的贪污受贿的钱最后为什么要上交国库？,泻药。  上缴国库就是被国库吃掉，不是为人民做事情？  请问你这是啥逻辑？
复旦，上交，中科大，浙大，南大，如何选择？,复旦没有悬念，进可攻退可守 利益相关: 科大毕业生。校友玻璃心，匿名保平安。  以及，都到了这个等级，个人因素比学校因素重要得多。
在互联网时代，计算机强校上海交通大学是不是已经被时代抛弃了？,所以我们都往国外跑呀hhhhhh，   要么去湾区做码农要么读博去了，剩下的基本在读硕，很少有人本科直接工作的，要么是太大神要么是太渣。  硕士就业的话我不觉得会输于清北以外的任何学校，当然内部数据我不能拿上来。  透露一个数据，电院今年硕士平均起薪18W，一般计算机系是远高于这个水平的。  另外再说两句，有的人的双重标准玩得也是溜得飞起来。你说上海的就业资源不行吧，我说我们硕士就业水平不输清北，你又说我们科研能力不行，比不上清北，那我也说了呀我们学生出国和深造的那么多科研能力还不行吗？说让你去查顶会的文章看看大陆哪些高校的文章发的多你又不去查光凭嘴皮子说话。  另外你们眼里真是BAT就到顶了，交大CS的学生很大一部分都不是在做纯CS的工作，上海不需要交大成为它的码农池子。
上海交通大学核科学与工程学院如何？, 时间都是海绵里的水，需要自己去挤出来，所谓的给博士生打下手如何理解呢，如果想去做实验最开始需要一定的经验，而每个人那么忙谁也不会抽出时间给你将怎么去做实验，比如去调个高速相机，不可能说博士们快要调出的时候然后喊你让你来学习一下怎么去调，况且他自己也是在一直试验，也不清楚什么时候调出来，别人也没有义务这个时候专门给你打电话告诉你去怎么去做，或者之后给你做个PPT仔细给你将，这种情况是存在的。刚来的同学有可能存在2种情况，一种是老师要求去帮忙干活，另一种就是自己主动去学习（在帮忙的时候主动问问题讨论），前者可能就是所谓的打下手吧 
上海交通大学建议考么？,那个……至少在我们省啊，理科考上交的话，三十万人得考到一百多名才成。 所以我认为问题并不是建不建议……  我们这些人当年高考的时候都能考到省前千分之几，因为是异地上高中，回到本市之后亮出成绩都是市区前几的水准，反正上交我们都从来不敢想……
上海大学和上海交通大学传播学哪个好？,从教育部2012年学科评估来看，新闻学上大和交大同样位列全国第十，上海第二。但毕竟交大是c9高校，所以自然交大要好于上大，这点从分数上也有所体现。
上交的暑期核能周？,啥？我竟然不知道？具体情况不太清楚。不过就我个人所知可能不是保研类的吧。    ---查证后修改答案-- 我刚刚上网看了一下。负责人竟然还是我毕设导师，怪不得前两天他问我去秦山的话怎么做活动安排，时间长短之类的，我问他参加活动的是谁他自己也说不清，原来是这个活动(秦山参观是我的锅)。  可以确定的是这个不是夏令营，没有保研性质。  核学院保研是要参加机动的保研夏令营的。这次活动理论上没有任何保研资质。
怎么样才能进上交所或者深交所工作？,有关系
浙江省最好的大学是浙江大学还是上海交通大学？,安徽省最好的大学是中科大还是南大？
结婚后，工资要不要上交？,不用上交，两个人一起另开个账户，根据工资水平每月固定往里存钱当生活费。余下的留着自己花，互不干涉。
上海交通大学经济类研究生跟宁波国税选哪个？,分割线之下是本来写的，评论很多人提到多少多少钱的问题，有些地方的公务员收入是蛮高的，但是这个问题不是多少钱，而是一个职业方向的问题。 现在去讲座，很多人问我如何选职业，我从来不告诉他们如何选，告诉他们当你有一切资源的时候，不考虑一切问题，你的内心想做什么。 选择职业是选择自己喜欢的事情，就像我喜欢在娱乐和媒体圈混，因为我是表演型的人格，有控制欲，所以我完全不适合公务员的队伍，但是很多人，确实适合公务员，就想着陪陪对象孩子父母，没什么压力，那就很适合公务员。 可能我把公务员工资说的低了，很多江浙的地方一年十几万，程序员一年十几万，对比一下确实公务员好，但是我希望大家知道为了一个多出来千把块钱的事情愿意贡献自己的一生吗？ 公务员就是重复，重复，重复，你25岁入职，26岁就在做一生中大部分的事情了，即使提拔当了领导，除非国家级的，你做的事情也依然是大差不差。如果一个年轻人已经做好了这个准备，极力推荐去干公务员，哪怕钱少。 但是如果你不想老去的时候没有故事可以讲，还是希望能自己去拼搏做一些事情，去做销售可以做成一个大区的负责人，去做财务可以帮公司打点好避税和财报，去做运营可以把公司管理的井井有条，但是去做公务员，即便做了领导，你依然是制度一个小小的螺丝钉，换掉你对制度没有任何影像，而且很多人在准备换你。 这是价值感的问题，并不是几千块钱的问题，对于知乎er的素质来说，现在去找绝大多数工作都能很好地养活自己，关键的是选择怎么去养活自己。这才是这个选择，和这个帖子的本意。 我建议题主去读研是因为，如果他像我当年一样铁了心的觉得公务员好，也不会在这里问这个问题了。公务员对他来说，就是弃之可惜，食之无味，所以他回来问这个问题，而不是几年我少赚多少钱。 对吗？ ==================================================================== 08年的时候我考上了上海交大公共经济学的研究生，也考上了南宁海关的公务员，我觉得海关好，去了南宁海关。 当时家里和一片亲朋好友都是这个意见，还是公务员好啊！ 我不知道你本科是什么学校，如果是牛逼学校，没有必要去干国税一个月拿几千块钱，如果不是，更没有必要放弃上海交大。 后来我付出了艰苦的努力考了三次研究生，等你到上海交大就会发现，你和你在政府接触的完全不是一种层次的人。好的大学有优秀的老师，优秀的同学，有无数未来可以帮到你的资源，而且你能学到很多可以供你用一辈子的东西，而你去政府，无非学到税法和怎么写报告吧。 上海交大能给你一个让你走向更大的平台，而且这个平台是一生的，国税呢？ 如果你真的觉得好学校不吸引你，没有关系，等你毕业再考公务员，拿着上海交大的硕士学历，比你现在进政府被领导重视的多。 真的，年轻的时候多读读书，不然你会后悔一辈子的选择，学历是终身的，同学是终身的，人脉是终身的，知识和能力更是终身的。选择国税你只是终身拿几千块而已。 而且你学的是经济学，好好学习，这个专业企业给的钱，比政府多得多
211文科院校大三在校生，新闻传播学考研，纠结上海交通大学还是中国传媒大学？,泻药，我当然觉得大中传好，而且排名的话确实在上交之前，只不过上交的综合排名肯定是远远超过传媒的，另外北京上海的传媒环境不同要好好考虑
香港中文大学和上海交通大学哪个好一些呢？,体育应该是香港那边好一点
在浙江，没有竞赛成绩真的上不了上交复旦吗？,本人裸考上了清北分数线…… 而且复旦可以千分考啊，不需要竞赛成绩的
